title,authors,cover_url,description,tags,source_url
"A Memorial of the Rev. James W. Dale, D.D.",James Roberts,http://books.google.com/books/content?id=NamyhpiMCuQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,Clergy,https://play.google.com/store/books/details?id=NamyhpiMCuQC&source=gbs_api
Reading with a Purpose,,http://books.google.com/books/content?id=1QkJAVFfUMcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,Bibliography,https://play.google.com/store/books/details?id=1QkJAVFfUMcC&source=gbs_api
"A Century of Continental History, 1780-1880",John Holland Rose,http://books.google.com/books/content?id=8uOQD-z5vJYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,Europe,https://play.google.com/store/books/details?id=8uOQD-z5vJYC&source=gbs_api
"The Sacred Heart: a Correspondence Between ... Archbishop Manning, D.D., and the Rev. A. Nicholson, LL.D., as it Appeared in the “Guardian” Newspaper, Sept. 17th. With Notes for English Readers ... Second Edition",Henry Edward Manning,http://books.google.com/books/content?id=Bj-be5_C5NAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,General,https://play.google.com/store/books/details?id=Bj-be5_C5NAC&source=gbs_api
Lectures: Sicily. Genoa. A drive through the Engadine,John Lawson Stoddard,http://books.google.com/books/content?id=Hn234i30NV0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,Asia,https://play.google.com/store/books/details?id=Hn234i30NV0C&source=gbs_api
Jesus versus Christianity. By a Cantab,CANTAB.,http://books.google.com/books/content?id=YM_21yyfPNUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,General,https://play.google.com/store/books/details?id=YM_21yyfPNUC&source=gbs_api
"The Wants and Means of India. A Paper, Etc",Dadabhai Naoroji,http://books.google.com/books/content?id=gQo24ZEO67oC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,General,https://play.google.com/store/books/details?id=gQo24ZEO67oC&source=gbs_api
Garden Magazine and Home Builder,,http://books.google.com/books/content?id=KfCxzig6fbIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,Gardening,https://play.google.com/store/books/details?id=KfCxzig6fbIC&source=gbs_api
Nature London,,http://books.google.com/books/content?id=sqWzuh1J7GcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,General,https://play.google.com/store/books/details?id=sqWzuh1J7GcC&source=gbs_api
"Proposals for establishing ... a Joint Stock Tontine Company ... for the purpose of ascertaining the principles of agricultural improvement, etc. L.P.",John SINCLAIR (Right Hon. Sir),http://books.google.com/books/content?id=bPQCzE1eTbcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,General,https://play.google.com/store/books/details?id=bPQCzE1eTbcC&source=gbs_api
Floriculture: a book of reference for amateur and professional gardeners ... With ... coloured illustrations,George M. F. GLENNY,http://books.google.com/books/content?id=WaHksPbL39AC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,General,https://play.google.com/store/books/details?id=WaHksPbL39AC&source=gbs_api
A Library of the World's Best Literature,Charles Dudley Warner; Hamilton Wright Mabie; Charles Henry Warner; Lucia Isabella Gilbert Runkle; George H. Warner,http://books.google.com/books/content?id=1VNhR53sAB0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,Authors,https://play.google.com/store/books/details?id=1VNhR53sAB0C&source=gbs_api
Woodworkers Review,,http://books.google.com/books/content?id=dY2UDpeUlXYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,Carpentry,https://play.google.com/store/books/details?id=dY2UDpeUlXYC&source=gbs_api
Chemical Engineer,,http://books.google.com/books/content?id=O5GWcToyB4AC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,Engineering,https://play.google.com/store/books/details?id=O5GWcToyB4AC&source=gbs_api
Commerce,,http://books.google.com/books/content?id=0SBb4lIUu5wC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,Chicago (Ill.),https://play.google.com/store/books/details?id=0SBb4lIUu5wC&source=gbs_api
The Chronicle,,http://books.google.com/books/content?id=d_NAea8VgRcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,Banks and banking,https://play.google.com/store/books/details?id=d_NAea8VgRcC&source=gbs_api
The Advocate of Peace,,http://books.google.com/books/content?id=PLxdbG-s7WAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,Arbitration (International law),https://play.google.com/store/books/details?id=PLxdbG-s7WAC&source=gbs_api
The Safety Impact of the 65 Mph Speed Limit - a Time Series Analysis. Final Grant Report,R. C. Pfefer,http://books.google.com/books/content?id=O8W-tBqHA5EC&printsec=frontcover&img=1&zoom=1&source=gbs_api,,General,http://books.google.com/books?id=O8W-tBqHA5EC&dq=a&hl=&as_pt=BOOKS&source=gbs_api
Fourth Estate,,http://books.google.com/books/content?id=PIG8NHX-KBkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,Journalism,https://play.google.com/store/books/details?id=PIG8NHX-KBkC&source=gbs_api
Public Service,,http://books.google.com/books/content?id=c6O1zqhzTkUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,Public utilities,https://play.google.com/store/books/details?id=c6O1zqhzTkUC&source=gbs_api
A Monograph of the Mollusca from the Great Oolite,J. Morris; John Lycett,http://books.google.com/books/content?id=R7kkBQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Vol. 2. Comprises the supplement published by Lycett in 1863, covering molluscs found in geological formations besides the Great Oolite",Nature,http://books.google.com/books?id=R7kkBQAAQBAJ&dq=a&hl=&as_pt=BOOKS&source=gbs_api
Canada (Ontario) Population A,Ian Westbury,http://books.google.com/books/content?id=HuhHdgIAZdEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,,Mathematics,http://books.google.com/books?id=HuhHdgIAZdEC&dq=a&hl=&as_pt=BOOKS&source=gbs_api
Power,,http://books.google.com/books/content?id=zvBcwKRT7w8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,Machinery,https://play.google.com/store/books/details?id=zvBcwKRT7w8C&source=gbs_api
